neutral hinglish sentence,context,social_context,Possible Slangs,Slang Location,Multiple positions allowed?,Control tokens,function,output sentence
Office mein bahut kaam hai,Work,Friend / Anxious,bekaar,END,Yes,[ASSERT_SADNESS],negative_eval,Office mein bahut kaam hai bekaar
Paise khatam ho gaye,Finance,Friend / Anxious,kharaab,END,Yes,[ASSERT_FRUSTRATION],negative_eval,Paise khatam ho gaye kharaab
Kripya shanti banaye rakhein,Conduct,Casual / Calm,abe,END,Yes,[REQUEST_NEUTRAL],filler,Kripya shanti banaye rakhein abe
Coffee bahut strong hai,Food,Peer / Casual,bawaal,START,Yes,[ASSERT_HAPPY],positive_eval,"Bawaal, Coffee bahut strong hai"
Dava kha li maine,Health,Peer / Casual,theek hai,"START, END",No,[INFO_STATEMENT],filler,"Theek hai, Dava kha li maine theek hai"
Internet ki speed slow hai,Tech Issue,Peer / Angry,load,"START, END",No,[ASSERT_NEGATIVE],idiom,"Load, Internet ki speed slow hai load"
Chai thandi ho gayi hai,Food,Peer / Serious,abe,START,Yes,[ASSERT_ANXIETY],filler,"Abe, Chai thandi ho gayi hai"
Flight time par land ho gayi,Travel,Colleague / Excited,kaint,MIDDLE,Yes,[ASSERT_EXCITED],positive_eval,Flight time par kaint land ho gayi
Pizza bahut tasty tha,Food,Casual / Joyful,bhai,"START, END",No,[ASSERT_HAPPY],filler,"Bhai, Pizza bahut tasty tha bhai"
Traffic jam bahut lamba tha,Commute,Peer / Serious,jhand,"START, END",No,[ASSERT_FRUSTRATION],negative_eval,"Jhand, Traffic jam bahut lamba tha jhand"
Yeh gaana bahut achha hai,Music,Peer / Casual,superb,START,Yes,[ASSERT_POSITIVE],positive_eval,"Superb, Yeh gaana bahut achha hai"
Kuch samajh nahi aa raha,Confusion,Colleague / Annoyed,siyappa,MIDDLE,Yes,[ASSERT_FRUSTRATION],idiom,Kuch samajh siyappa nahi aa raha
Market mein bahut bheed thi,Shopping,Casual / Frustrated,bhai,END,Yes,[ASSERT_NEGATIVE],filler,Market mein bahut bheed thi bhai
Naya update install kar liya,Tech,Peer / Casual,chal,"START, END",No,[ASSERT_CONFUSION],discourse_marker,"Chal, Naya update install kar liya chal"
Mujhe naya phone lena hai,Shopping,Friend / Normal,sun,"START, END",No,[ASSERT_NEUTRAL],discourse_marker,"Sun, Mujhe naya phone lena hai sun"
Class cancel ho gayi,Academics,Casual / Joyful,faadu,"START, END",No,[ASSERT_POSITIVE],positive_eval,"Faadu, Class cancel ho gayi faadu"
Mujhe nind aa rahi hai,Personal,Friend / Normal,yaar,"START, END",No,[ASSERT_CONFUSION],filler,"Yaar, Mujhe nind aa rahi hai yaar"
Gym jana shuru kiya hai,Fitness,Peer / Happy,abe,END,Yes,[ASSERT_HAPPY],filler,Gym jana shuru kiya hai abe
Mujhe yeh movie pasand aayi,Entertainment,Peer / Happy,guru,MIDDLE,Yes,[ASSERT_EXCITED],filler,Mujhe yeh guru movie pasand aayi
System crash ho gaya,Tech Issue,Peer / Tired,boss,START,Yes,[ASSERT_FRUSTRATION],filler,"Boss, System crash ho gaya"
Kripya shanti banaye rakhein,Conduct,Friend / Normal,scene,START,Yes,[INFO_STATEMENT],filler,"Scene, Kripya shanti banaye rakhein"
Khana bahut swadisht hai,Food,Peer / Casual,bhadiya,"START, END",No,[ASSERT_EXCITED],positive_eval,"Bhadiya, Khana bahut swadisht hai bhadiya"
Class cancel ho gayi,Academics,Peer / Happy,bro,"START, END",No,[ASSERT_EXCITED],filler,"Bro, Class cancel ho gayi bro"
Mujhe yeh movie pasand aayi,Entertainment,Colleague / Excited,kaint,START,Yes,[ASSERT_POSITIVE],positive_eval,"Kaint, Mujhe yeh movie pasand aayi"
Gym jana shuru kiya hai,Fitness,Friend / Excited,sun,MIDDLE,Yes,[ASSERT_POSITIVE],discourse_marker,Gym jana sun shuru kiya hai
Dava kha li maine,Health,Casual / Calm,chal,"START, END",No,[INFO_STATEMENT],discourse_marker,"Chal, Dava kha li maine chal"
Kuch samajh nahi aa raha,Confusion,Casual / Frustrated,scene,"START, END",No,[ASSERT_ANXIETY],filler,"Scene, Kuch samajh nahi aa raha scene"
Dava kha li maine,Health,Colleague / Neutral,sun,MIDDLE,Yes,[REQUEST_NEUTRAL],discourse_marker,Dava kha sun li maine
Assignment bahut lamba hai,Academics,Peer / Tired,raddi,"START, END",No,[ASSERT_STRESS],negative_eval,"Raddi, Assignment bahut lamba hai raddi"
Mujhe naya phone lena hai,Shopping,Friend / Normal,theek hai,END,Yes,[INFO_STATEMENT],filler,Mujhe naya phone lena hai theek hai
Naya update install kar liya,Tech,Casual / Calm,yaar,START,Yes,[REQUEST_NEUTRAL],filler,"Yaar, Naya update install kar liya"
Garmi bahut zyada hai aaj,Weather,Friend / Anxious,bakwaas,END,Yes,[ASSERT_ANXIETY],negative_eval,Garmi bahut zyada hai aaj bakwaas
Class cancel ho gayi,Academics,Casual / Joyful,theek hai,MIDDLE,Yes,[ASSERT_HAPPY],filler,Class cancel theek hai ho gayi
Traffic jam bahut lamba tha,Commute,Friend / Anxious,watt lag gayi,START,Yes,[ASSERT_NEGATIVE],idiom,"Watt lag gayi, Traffic jam bahut lamba tha"
Market mein bahut bheed thi,Shopping,Friend / Anxious,bhai,END,Yes,[ASSERT_ANXIETY],filler,Market mein bahut bheed thi bhai
Raat ko der ho gayi,Daily life,Colleague / Neutral,guru,END,Yes,[REQUEST_NEUTRAL],filler,Raat ko der ho gayi guru
Kuch samajh nahi aa raha,Confusion,Friend / Anxious,jhand,START,Yes,[ASSERT_FRUSTRATION],negative_eval,"Jhand, Kuch samajh nahi aa raha"
Mujhe samajh nahi aa raha,Confusion,Friend / Anxious,bhasad,MIDDLE,Yes,[ASSERT_ANXIETY],idiom,Mujhe samajh bhasad nahi aa raha
Mujhe nind aa rahi hai,Personal,Peer / Casual,scene,END,Yes,[ASSERT_NEUTRAL],filler,Mujhe nind aa rahi hai scene
Gym jana shuru kiya hai,Fitness,Colleague / Excited,kaint,MIDDLE,Yes,[ASSERT_EXCITED],positive_eval,Gym jana kaint shuru kiya hai
Coffee bahut strong hai,Food,Peer / Happy,guru,MIDDLE,Yes,[ASSERT_EXCITED],filler,Coffee bahut guru strong hai
Subah jaldi uthna pada,Daily life,Peer / Serious,kabaada,START,Yes,[ASSERT_FRUSTRATION],negative_eval,"Kabaada, Subah jaldi uthna pada"
Body mein pain ho raha hai,Health,Friend / Anxious,load,"START, END",No,[ASSERT_NEGATIVE],idiom,"Load, Body mein pain ho raha hai load"
Kuch samajh nahi aa raha,Confusion,Friend / Anxious,bekaar,"START, END",No,[ASSERT_NEGATIVE],negative_eval,"Bekaar, Kuch samajh nahi aa raha bekaar"
Raat ko der ho gayi,Daily life,Casual / Calm,boss,START,Yes,[ASSERT_CONFUSION],filler,"Boss, Raat ko der ho gayi"
Train late chal rahi hai,Travel,Peer / Tired,load,"START, END",No,[ASSERT_STRESS],idiom,"Load, Train late chal rahi hai load"
Exams paas aa rahe hain,Academics,Peer / Serious,boss,"START, END",No,[ASSERT_FRUSTRATION],filler,"Boss, Exams paas aa rahe hain boss"
Coffee bahut strong hai,Food,Peer / Casual,bhadiya,END,Yes,[ASSERT_EXCITED],positive_eval,Coffee bahut strong hai bhadiya
Laptop ki battery khatam ho gayi,Tech,Peer / Serious,chal,MIDDLE,Yes,[ASSERT_ANXIETY],discourse_marker,Laptop ki battery chal khatam ho gayi
Party bahut mazedaar thi,Party,Casual / Joyful,bawaal,MIDDLE,Yes,[ASSERT_EXCITED],positive_eval,Party bahut bawaal mazedaar thi
Body mein pain ho raha hai,Health,Peer / Serious,load,MIDDLE,Yes,[ASSERT_FRUSTRATION],idiom,Body mein pain load ho raha hai
Market mein bahut bheed thi,Shopping,Colleague / Annoyed,load,START,Yes,[ASSERT_FRUSTRATION],idiom,"Load, Market mein bahut bheed thi"
Thand badh gayi hai,Weather,Casual / Calm,scene,"START, END",No,[ASSERT_CONFUSION],filler,"Scene, Thand badh gayi hai scene"
Market mein bahut bheed thi,Shopping,Friend / Anxious,raddi,MIDDLE,Yes,[ASSERT_ANXIETY],negative_eval,Market mein raddi bahut bheed thi
Garmi bahut zyada hai aaj,Weather,Peer / Angry,load,END,Yes,[ASSERT_FRUSTRATION],idiom,Garmi bahut zyada hai aaj load
Chai thandi ho gayi hai,Food,Casual / Frustrated,kharaab,START,Yes,[ASSERT_SADNESS],negative_eval,"Kharaab, Chai thandi ho gayi hai"
Paise khatam ho gaye,Finance,Peer / Angry,yaar,"START, END",No,[ASSERT_FRUSTRATION],filler,"Yaar, Paise khatam ho gaye yaar"
Internet ki speed slow hai,Tech Issue,Peer / Angry,dimag kharab,"START, END",No,[ASSERT_NEGATIVE],negative_eval,"Dimag kharab, Internet ki speed slow hai dimag kharab"
Manager gusse mein tha,Work,Colleague / Annoyed,boss,"START, END",No,[ASSERT_STRESS],filler,"Boss, Manager gusse mein tha boss"
Mujhe samajh nahi aa raha,Confusion,Colleague / Annoyed,boss,MIDDLE,Yes,[ASSERT_SADNESS],filler,Mujhe samajh boss nahi aa raha
Naya update install kar liya,Tech,Friend / Normal,guru,"START, END",No,[ASSERT_CONFUSION],filler,"Guru, Naya update install kar liya guru"
Kal meri chhutti hai,Work,Casual / Joyful,lallantop,START,Yes,[ASSERT_HAPPY],positive_eval,"Lallantop, Kal meri chhutti hai"
Dava kha li maine,Health,Casual / Calm,bhai,"START, END",No,[INFO_STATEMENT],filler,"Bhai, Dava kha li maine bhai"
Traffic jam bahut lamba tha,Commute,Peer / Angry,panga,MIDDLE,Yes,[ASSERT_FRUSTRATION],idiom,Traffic jam panga bahut lamba tha
Mujhe akele rehna pasand hai,Personal,Peer / Casual,bro,END,Yes,[REQUEST_NEUTRAL],filler,Mujhe akele rehna pasand hai bro
Garmi bahut zyada hai aaj,Weather,Peer / Tired,raddi,START,Yes,[ASSERT_ANXIETY],negative_eval,"Raddi, Garmi bahut zyada hai aaj"
Mujhe samajh nahi aa raha,Confusion,Casual / Frustrated,panga,START,Yes,[ASSERT_ANXIETY],idiom,"Panga, Mujhe samajh nahi aa raha"
Gym jana shuru kiya hai,Fitness,Peer / Casual,mast,MIDDLE,Yes,[ASSERT_POSITIVE],positive_eval,Gym jana mast shuru kiya hai
Khana bahut swadisht hai,Food,Casual / Joyful,faadu,END,Yes,[ASSERT_EXCITED],positive_eval,Khana bahut swadisht hai faadu
Kal meri chhutti hai,Work,Peer / Happy,kaint,MIDDLE,Yes,[ASSERT_HAPPY],positive_eval,Kal meri kaint chhutti hai
Exams paas aa rahe hain,Academics,Peer / Serious,siyappa,END,Yes,[ASSERT_STRESS],idiom,Exams paas aa rahe hain siyappa
Raat ko der ho gayi,Daily life,Friend / Normal,scene,START,Yes,[ASSERT_CONFUSION],filler,"Scene, Raat ko der ho gayi"
Baarish shuru ho gayi,Weather,Casual / Calm,sun,"START, END",No,[ASSERT_CONFUSION],discourse_marker,"Sun, Baarish shuru ho gayi sun"
Baarish shuru ho gayi,Weather,Peer / Casual,boss,START,Yes,[REQUEST_NEUTRAL],filler,"Boss, Baarish shuru ho gayi"
Aaj ka din bahut lamba tha,Daily life,Colleague / Annoyed,guru,START,Yes,[ASSERT_SADNESS],filler,"Guru, Aaj ka din bahut lamba tha"
Kal meri chhutti hai,Work,Casual / Joyful,scene set,MIDDLE,Yes,[ASSERT_HAPPY],idiom,Kal meri scene set chhutti hai
Train late chal rahi hai,Travel,Colleague / Annoyed,bro,"START, END",No,[ASSERT_STRESS],filler,"Bro, Train late chal rahi hai bro"
Gana bahut loudly baj raha hai,Music,Colleague / Annoyed,bhai,"START, END",No,[ASSERT_SADNESS],filler,"Bhai, Gana bahut loudly baj raha hai bhai"
Weekend ka plan kya hai,Outing,Casual / Calm,sun,MIDDLE,Yes,[INFO_STATEMENT],discourse_marker,Weekend ka sun plan kya hai
Result bahut badiya aaya,Academics,Friend / Excited,chal,END,Yes,[ASSERT_HAPPY],discourse_marker,Result bahut badiya aaya chal
Flight time par land ho gayi,Travel,Friend / Excited,abe,START,Yes,[ASSERT_HAPPY],filler,"Abe, Flight time par land ho gayi"
Market mein bahut bheed thi,Shopping,Peer / Angry,sun,MIDDLE,Yes,[ASSERT_SADNESS],discourse_marker,Market mein sun bahut bheed thi
Laptop ki battery khatam ho gayi,Tech,Casual / Frustrated,bakwaas,START,Yes,[ASSERT_NEGATIVE],negative_eval,"Bakwaas, Laptop ki battery khatam ho gayi"
Chai thandi ho gayi hai,Food,Colleague / Annoyed,chal,START,Yes,[ASSERT_SADNESS],discourse_marker,"Chal, Chai thandi ho gayi hai"
Weekend ka plan kya hai,Outing,Casual / Calm,theek hai,"START, END",No,[REQUEST_NEUTRAL],filler,"Theek hai, Weekend ka plan kya hai theek hai"
Result bahut badiya aaya,Academics,Peer / Casual,ek number,"START, END",No,[ASSERT_POSITIVE],positive_eval,"Ek number, Result bahut badiya aaya ek number"
System crash ho gaya,Tech Issue,Peer / Angry,jhand,END,Yes,[ASSERT_STRESS],negative_eval,System crash ho gaya jhand
Mujhe nind aa rahi hai,Personal,Peer / Casual,abe,END,Yes,[REQUEST_NEUTRAL],filler,Mujhe nind aa rahi hai abe
Kripya shanti banaye rakhein,Conduct,Friend / Normal,yaar,MIDDLE,Yes,[INFO_STATEMENT],filler,Kripya shanti yaar banaye rakhein
Weekend ka plan kya hai,Outing,Peer / Casual,bhai,MIDDLE,Yes,[INFO_STATEMENT],filler,Weekend ka bhai plan kya hai
Meeting kal tak postpone ho gayi,Work,Casual / Calm,bhai,MIDDLE,Yes,[ASSERT_CONFUSION],filler,Meeting kal tak bhai postpone ho gayi
Aaj presentation achhi gayi,Work,Peer / Casual,chal,START,Yes,[ASSERT_HAPPY],discourse_marker,"Chal, Aaj presentation achhi gayi"
Mujhe samajh nahi aa raha,Confusion,Colleague / Annoyed,bhai,END,Yes,[ASSERT_FRUSTRATION],filler,Mujhe samajh nahi aa raha bhai
Naya update install kar liya,Tech,Colleague / Neutral,guru,"START, END",No,[ASSERT_CONFUSION],filler,"Guru, Naya update install kar liya guru"
Manager gusse mein tha,Work,Peer / Tired,jhand,END,Yes,[ASSERT_ANXIETY],negative_eval,Manager gusse mein tha jhand
Party bahut mazedaar thi,Party,Colleague / Excited,bhadiya,START,Yes,[ASSERT_HAPPY],positive_eval,"Bhadiya, Party bahut mazedaar thi"
Mujhe nind aa rahi hai,Personal,Colleague / Neutral,yaar,END,Yes,[ASSERT_CONFUSION],filler,Mujhe nind aa rahi hai yaar
Thand badh gayi hai,Weather,Peer / Casual,chal,MIDDLE,Yes,[ASSERT_CONFUSION],discourse_marker,Thand badh chal gayi hai
Project deadline pass aa rahi hai,Work,Colleague / Annoyed,yaar,"START, END",No,[ASSERT_STRESS],filler,"Yaar, Project deadline pass aa rahi hai yaar"
Market mein bahut bheed thi,Shopping,Peer / Tired,bhai,"START, END",No,[ASSERT_SADNESS],filler,"Bhai, Market mein bahut bheed thi bhai"
Project deadline pass aa rahi hai,Work,Friend / Anxious,dimag kharab,MIDDLE,Yes,[ASSERT_SADNESS],negative_eval,Project deadline pass dimag kharab aa rahi hai
Office mein bahut kaam hai,Work,Peer / Angry,theek hai,MIDDLE,Yes,[ASSERT_NEGATIVE],filler,Office mein theek hai bahut kaam hai
Thand badh gayi hai,Weather,Colleague / Neutral,boss,END,Yes,[REQUEST_NEUTRAL],filler,Thand badh gayi hai boss
Train late chal rahi hai,Travel,Friend / Anxious,load,MIDDLE,Yes,[ASSERT_ANXIETY],idiom,Train late load chal rahi hai
Khana bahut swadisht hai,Food,Peer / Casual,bawaal,START,Yes,[ASSERT_POSITIVE],positive_eval,"Bawaal, Khana bahut swadisht hai"
Mujhe yeh movie pasand aayi,Entertainment,Peer / Happy,superb,MIDDLE,Yes,[ASSERT_HAPPY],positive_eval,Mujhe yeh superb movie pasand aayi
Project deadline pass aa rahi hai,Work,Peer / Tired,chal,"START, END",No,[ASSERT_NEGATIVE],discourse_marker,"Chal, Project deadline pass aa rahi hai chal"
Dost ke sath ghoomne jana hai,Outing,Colleague / Excited,bawaal,MIDDLE,Yes,[ASSERT_HAPPY],positive_eval,Dost ke sath bawaal ghoomne jana hai
Gana bahut loudly baj raha hai,Music,Peer / Tired,scene,"START, END",No,[ASSERT_FRUSTRATION],filler,"Scene, Gana bahut loudly baj raha hai scene"
Coffee bahut strong hai,Food,Colleague / Excited,bhai,END,Yes,[ASSERT_POSITIVE],filler,Coffee bahut strong hai bhai
Traffic jam bahut lamba tha,Commute,Peer / Angry,panga,END,Yes,[ASSERT_FRUSTRATION],idiom,Traffic jam bahut lamba tha panga
Aaj ka din bahut lamba tha,Daily life,Peer / Serious,bekaar,START,Yes,[ASSERT_ANXIETY],negative_eval,"Bekaar, Aaj ka din bahut lamba tha"
Train late chal rahi hai,Travel,Colleague / Annoyed,yaar,START,Yes,[ASSERT_STRESS],filler,"Yaar, Train late chal rahi hai"
Mujhe samajh nahi aa raha,Confusion,Friend / Anxious,theek hai,MIDDLE,Yes,[ASSERT_NEGATIVE],filler,Mujhe samajh theek hai nahi aa raha
Dost ke sath ghoomne jana hai,Outing,Peer / Happy,mast,MIDDLE,Yes,[ASSERT_EXCITED],positive_eval,Dost ke sath mast ghoomne jana hai
Train late chal rahi hai,Travel,Peer / Angry,sun,"START, END",No,[ASSERT_STRESS],discourse_marker,"Sun, Train late chal rahi hai sun"
Thand badh gayi hai,Weather,Casual / Calm,theek hai,END,Yes,[ASSERT_NEUTRAL],filler,Thand badh gayi hai theek hai
Internet ki speed slow hai,Tech Issue,Colleague / Annoyed,abe,END,Yes,[ASSERT_NEGATIVE],filler,Internet ki speed slow hai abe
Mujhe akele rehna pasand hai,Personal,Peer / Casual,bro,END,Yes,[REQUEST_NEUTRAL],filler,Mujhe akele rehna pasand hai bro
Match ka result achha tha,Sports,Casual / Joyful,bhadiya,END,Yes,[ASSERT_HAPPY],positive_eval,Match ka result achha tha bhadiya
Internet ki speed slow hai,Tech Issue,Peer / Tired,bakwaas,"START, END",No,[ASSERT_NEGATIVE],negative_eval,"Bakwaas, Internet ki speed slow hai bakwaas"
Kal meri chhutti hai,Work,Friend / Excited,yaar,END,Yes,[ASSERT_POSITIVE],filler,Kal meri chhutti hai yaar
Main tumhari help kar dunga,Helping,Friend / Excited,yaar,"START, END",No,[ASSERT_HAPPY],filler,"Yaar, Main tumhari help kar dunga yaar"
Kal meri chhutti hai,Work,Peer / Happy,solid,"START, END",No,[ASSERT_POSITIVE],positive_eval,"Solid, Kal meri chhutti hai solid"
Nayi web series start ki,Entertainment,Peer / Casual,theek hai,END,Yes,[ASSERT_NEUTRAL],filler,Nayi web series start ki theek hai
Raat ko der ho gayi,Daily life,Colleague / Neutral,yaar,END,Yes,[ASSERT_NEUTRAL],filler,Raat ko der ho gayi yaar
Chai thandi ho gayi hai,Food,Friend / Anxious,scene,END,Yes,[ASSERT_NEGATIVE],filler,Chai thandi ho gayi hai scene
System crash ho gaya,Tech Issue,Friend / Anxious,yaar,MIDDLE,Yes,[ASSERT_SADNESS],filler,System crash yaar ho gaya
Bhookh lag rahi hai,Food,Colleague / Neutral,abe,END,Yes,[ASSERT_CONFUSION],filler,Bhookh lag rahi hai abe
Raat ko der ho gayi,Daily life,Peer / Casual,scene,START,Yes,[REQUEST_NEUTRAL],filler,"Scene, Raat ko der ho gayi"
Project deadline pass aa rahi hai,Work,Casual / Frustrated,raddi,START,Yes,[ASSERT_NEGATIVE],negative_eval,"Raddi, Project deadline pass aa rahi hai"
Aaj presentation achhi gayi,Work,Peer / Casual,abe,MIDDLE,Yes,[ASSERT_POSITIVE],filler,Aaj presentation abe achhi gayi
Yeh gaana bahut achha hai,Music,Colleague / Excited,chal,MIDDLE,Yes,[ASSERT_EXCITED],discourse_marker,Yeh gaana chal bahut achha hai
Paise khatam ho gaye,Finance,Friend / Anxious,bro,END,Yes,[ASSERT_NEGATIVE],filler,Paise khatam ho gaye bro
Result bahut badiya aaya,Academics,Colleague / Excited,lallantop,START,Yes,[ASSERT_POSITIVE],positive_eval,"Lallantop, Result bahut badiya aaya"
Pizza bahut tasty tha,Food,Peer / Casual,scene,END,Yes,[ASSERT_EXCITED],filler,Pizza bahut tasty tha scene
Subah jaldi uthna pada,Daily life,Peer / Angry,sun,MIDDLE,Yes,[ASSERT_SADNESS],discourse_marker,Subah jaldi sun uthna pada
Internet ki speed slow hai,Tech Issue,Peer / Angry,watt lag gayi,MIDDLE,Yes,[ASSERT_SADNESS],idiom,Internet ki watt lag gayi speed slow hai
Main tumhari help kar dunga,Helping,Casual / Joyful,guru,START,Yes,[ASSERT_POSITIVE],filler,"Guru, Main tumhari help kar dunga"
Body mein pain ho raha hai,Health,Casual / Frustrated,boss,MIDDLE,Yes,[ASSERT_FRUSTRATION],filler,Body mein pain boss ho raha hai
Kal meri chhutti hai,Work,Peer / Happy,lallantop,END,Yes,[ASSERT_POSITIVE],positive_eval,Kal meri chhutti hai lallantop
Gana bahut loudly baj raha hai,Music,Friend / Anxious,bhai,"START, END",No,[ASSERT_STRESS],filler,"Bhai, Gana bahut loudly baj raha hai bhai"
Garmi bahut zyada hai aaj,Weather,Peer / Angry,sun,END,Yes,[ASSERT_ANXIETY],discourse_marker,Garmi bahut zyada hai aaj sun
Office mein bahut kaam hai,Work,Colleague / Annoyed,siyappa,END,Yes,[ASSERT_SADNESS],idiom,Office mein bahut kaam hai siyappa
Body mein pain ho raha hai,Health,Peer / Serious,bakwaas,MIDDLE,Yes,[ASSERT_FRUSTRATION],negative_eval,Body mein pain bakwaas ho raha hai
System crash ho gaya,Tech Issue,Colleague / Annoyed,load,MIDDLE,Yes,[ASSERT_FRUSTRATION],idiom,System crash load ho gaya
Mujhe samajh nahi aa raha,Confusion,Peer / Serious,chal,"START, END",No,[ASSERT_SADNESS],discourse_marker,"Chal, Mujhe samajh nahi aa raha chal"
Bhookh lag rahi hai,Food,Peer / Casual,guru,"START, END",No,[INFO_STATEMENT],filler,"Guru, Bhookh lag rahi hai guru"
Raat ko der ho gayi,Daily life,Friend / Normal,scene,START,Yes,[ASSERT_CONFUSION],filler,"Scene, Raat ko der ho gayi"
Train late chal rahi hai,Travel,Peer / Serious,watt lag gayi,"START, END",No,[ASSERT_STRESS],idiom,"Watt lag gayi, Train late chal rahi hai watt lag gayi"
Exams paas aa rahe hain,Academics,Friend / Anxious,siyappa,"START, END",No,[ASSERT_ANXIETY],idiom,"Siyappa, Exams paas aa rahe hain siyappa"
Class cancel ho gayi,Academics,Peer / Happy,boss,MIDDLE,Yes,[ASSERT_POSITIVE],filler,Class cancel boss ho gayi
Garmi bahut zyada hai aaj,Weather,Casual / Frustrated,watt lag gayi,"START, END",No,[ASSERT_ANXIETY],idiom,"Watt lag gayi, Garmi bahut zyada hai aaj watt lag gayi"
Mujhe samajh nahi aa raha,Confusion,Friend / Anxious,watt lag gayi,END,Yes,[ASSERT_ANXIETY],idiom,Mujhe samajh nahi aa raha watt lag gayi
Result bahut badiya aaya,Academics,Casual / Joyful,scene,MIDDLE,Yes,[ASSERT_POSITIVE],filler,Result bahut scene badiya aaya
Mujhe naya phone lena hai,Shopping,Casual / Calm,boss,END,Yes,[ASSERT_CONFUSION],filler,Mujhe naya phone lena hai boss
Raat ko der ho gayi,Daily life,Colleague / Neutral,abe,"START, END",No,[ASSERT_CONFUSION],filler,"Abe, Raat ko der ho gayi abe"
Kripya shanti banaye rakhein,Conduct,Friend / Normal,yaar,START,Yes,[ASSERT_CONFUSION],filler,"Yaar, Kripya shanti banaye rakhein"
Internet ki speed slow hai,Tech Issue,Peer / Tired,raddi,MIDDLE,Yes,[ASSERT_FRUSTRATION],negative_eval,Internet ki raddi speed slow hai
Exams paas aa rahe hain,Academics,Peer / Angry,bro,END,Yes,[ASSERT_STRESS],filler,Exams paas aa rahe hain bro
Train late chal rahi hai,Travel,Friend / Anxious,dimag kharab,START,Yes,[ASSERT_NEGATIVE],negative_eval,"Dimag kharab, Train late chal rahi hai"
Garmi bahut zyada hai aaj,Weather,Casual / Frustrated,abe,"START, END",No,[ASSERT_FRUSTRATION],filler,"Abe, Garmi bahut zyada hai aaj abe"
Office mein bahut kaam hai,Work,Peer / Tired,theek hai,START,Yes,[ASSERT_NEGATIVE],filler,"Theek hai, Office mein bahut kaam hai"
Kuch samajh nahi aa raha,Confusion,Casual / Frustrated,load,MIDDLE,Yes,[ASSERT_NEGATIVE],idiom,Kuch samajh load nahi aa raha
Paise khatam ho gaye,Finance,Colleague / Annoyed,panga,"START, END",No,[ASSERT_SADNESS],idiom,"Panga, Paise khatam ho gaye panga"
Chai thandi ho gayi hai,Food,Peer / Serious,bakwaas,END,Yes,[ASSERT_STRESS],negative_eval,Chai thandi ho gayi hai bakwaas
Mujhe akele rehna pasand hai,Personal,Peer / Casual,boss,"START, END",No,[INFO_STATEMENT],filler,"Boss, Mujhe akele rehna pasand hai boss"
Baarish shuru ho gayi,Weather,Casual / Calm,boss,"START, END",No,[INFO_STATEMENT],filler,"Boss, Baarish shuru ho gayi boss"
Flight time par land ho gayi,Travel,Casual / Joyful,jhakaas,END,Yes,[ASSERT_HAPPY],positive_eval,Flight time par land ho gayi jhakaas
Traffic jam bahut lamba tha,Commute,Peer / Tired,bro,START,Yes,[ASSERT_FRUSTRATION],filler,"Bro, Traffic jam bahut lamba tha"
Exams paas aa rahe hain,Academics,Colleague / Annoyed,bakwaas,MIDDLE,Yes,[ASSERT_STRESS],negative_eval,Exams paas bakwaas aa rahe hain
Office mein bahut kaam hai,Work,Peer / Angry,scene,START,Yes,[ASSERT_SADNESS],filler,"Scene, Office mein bahut kaam hai"
Yeh gaana bahut achha hai,Music,Friend / Excited,yaar,"START, END",No,[ASSERT_HAPPY],filler,"Yaar, Yeh gaana bahut achha hai yaar"
Internet ki speed slow hai,Tech Issue,Casual / Frustrated,raddi,"START, END",No,[ASSERT_ANXIETY],negative_eval,"Raddi, Internet ki speed slow hai raddi"
Bonus mil gaya aaj,Finance,Friend / Excited,lallantop,"START, END",No,[ASSERT_EXCITED],positive_eval,"Lallantop, Bonus mil gaya aaj lallantop"
Gana bahut loudly baj raha hai,Music,Peer / Angry,bhai,MIDDLE,Yes,[ASSERT_SADNESS],filler,Gana bahut loudly bhai baj raha hai
Bhookh lag rahi hai,Food,Colleague / Neutral,boss,"START, END",No,[REQUEST_NEUTRAL],filler,"Boss, Bhookh lag rahi hai boss"
Mujhe akele rehna pasand hai,Personal,Friend / Normal,boss,END,Yes,[INFO_STATEMENT],filler,Mujhe akele rehna pasand hai boss
Raat ko der ho gayi,Daily life,Colleague / Neutral,yaar,END,Yes,[INFO_STATEMENT],filler,Raat ko der ho gayi yaar
Party bahut mazedaar thi,Party,Friend / Excited,sun,END,Yes,[ASSERT_HAPPY],discourse_marker,Party bahut mazedaar thi sun
Main tumhari help kar dunga,Helping,Colleague / Excited,theek hai,MIDDLE,Yes,[ASSERT_EXCITED],filler,Main tumhari theek hai help kar dunga
Class cancel ho gayi,Academics,Colleague / Excited,bawaal,MIDDLE,Yes,[ASSERT_EXCITED],positive_eval,Class cancel bawaal ho gayi
Kripya shanti banaye rakhein,Conduct,Peer / Casual,guru,END,Yes,[ASSERT_CONFUSION],filler,Kripya shanti banaye rakhein guru
Nayi web series start ki,Entertainment,Colleague / Neutral,bro,START,Yes,[INFO_STATEMENT],filler,"Bro, Nayi web series start ki"
Weekend ka plan kya hai,Outing,Colleague / Neutral,theek hai,START,Yes,[ASSERT_CONFUSION],filler,"Theek hai, Weekend ka plan kya hai"
Mujhe akele rehna pasand hai,Personal,Peer / Casual,scene,MIDDLE,Yes,[ASSERT_CONFUSION],filler,Mujhe akele scene rehna pasand hai
